iter	Logloss
0	0.6851547836
1	0.6774187788
2	0.670603628
3	0.6638317257
4	0.657361338
5	0.6518036072
6	0.6454385363
7	0.6394104811
8	0.634393718
9	0.6292225355
10	0.6240484484
11	0.6193065928
12	0.6149918936
13	0.6104359163
14	0.6060500312
15	0.6021692501
16	0.598386498
17	0.5945616602
18	0.5907314183
19	0.5879142559
20	0.5847758666
21	0.5817526224
22	0.5790159906
23	0.5759828106
24	0.5734451983
25	0.5707210156
26	0.5679558766
27	0.5655750139
28	0.5632355623
29	0.5609668281
30	0.5586930932
31	0.5566987044
32	0.5547604123
33	0.5529467276
34	0.5510803315
35	0.54936012
36	0.5476232062
37	0.5460413306
38	0.5443101458
39	0.5426633558
40	0.5412568911
41	0.5398793532
42	0.5386617756
43	0.5378431371
44	0.536774933
45	0.5355069234
46	0.5342275161
47	0.5331534752
48	0.5319007752
49	0.5309278676
50	0.5296785446
51	0.5285548444
52	0.5274714812
53	0.5263999078
54	0.5254567223
55	0.5246355343
56	0.5239798524
57	0.5233509091
58	0.5224259887
59	0.5216683953
60	0.5208091446
61	0.5200330619
62	0.5193132425
63	0.5185724073
64	0.5178784777
65	0.5171994257
66	0.5166365058
67	0.5160454855
68	0.5153824249
69	0.5148550131
70	0.5141875147
71	0.5136774433
72	0.5130241255
73	0.5126051814
74	0.5120362449
75	0.5115037129
76	0.510840296
77	0.5102644579
78	0.5096712869
79	0.5092167816
80	0.5087384298
81	0.5082235749
82	0.5076596411
83	0.5072251428
84	0.5067108231
85	0.5062201622
86	0.5057801801
87	0.5053029844
88	0.5049072769
89	0.5044367116
90	0.5039629143
91	0.5036080105
92	0.5032694707
93	0.5028918119
94	0.5025592976
95	0.5020731257
96	0.5018151204
97	0.5015423069
98	0.5011483032
99	0.5008017726
100	0.5005428837
101	0.5001554355
102	0.499845813
103	0.4995386386
104	0.4992547056
105	0.4988695599
106	0.4985245291
107	0.4981756797
108	0.4978595865
109	0.4975460521
110	0.4972501539
111	0.4969820115
112	0.4967658367
113	0.4965178066
114	0.4963348759
115	0.4960384549
116	0.495742045
117	0.4954663215
118	0.4952505329
119	0.4949512212
120	0.4946155766
121	0.4943045905
122	0.4941282233
123	0.4938370348
124	0.4936480383
125	0.493431138
126	0.4932102138
127	0.4929191555
128	0.4926536671
129	0.4923307767
130	0.492082174
131	0.4919091251
132	0.4917092177
133	0.4914688008
134	0.4912537534
135	0.4910108943
136	0.4907984365
137	0.4904764735
138	0.4902894858
139	0.4900671698
140	0.4898308059
141	0.4896047129
142	0.4893770967
143	0.4891767667
144	0.4889410576
145	0.4887945271
146	0.4886307021
147	0.4884660754
148	0.4882938957
149	0.4881465441
150	0.4880180719
151	0.4878369325
152	0.4877437414
153	0.4875971624
154	0.4874606325
155	0.4872602971
156	0.4871235064
157	0.486978549
158	0.4868547237
159	0.4866995595
160	0.4866112145
161	0.4864796561
162	0.4863258986
163	0.4861700694
164	0.4859991856
165	0.4858269226
166	0.4856953039
167	0.4855260916
168	0.485358681
169	0.4852565846
170	0.4851209646
171	0.4850226324
172	0.4848916134
173	0.4846798296
174	0.4845752017
175	0.4844105105
176	0.4843337754
177	0.4841861517
178	0.4840429552
179	0.4839328811
180	0.483804299
181	0.4837111104
182	0.4835673893
183	0.4834385357
184	0.4832920947
185	0.4831845351
186	0.4830835847
187	0.4829752405
188	0.4828712646
189	0.4827484402
190	0.4826246332
191	0.4825579516
192	0.4824085285
193	0.4821901297
194	0.4821162762
195	0.4819989097
196	0.4818534269
197	0.4817469529
198	0.481588379
199	0.4814223658
200	0.4812820019
201	0.4810712696
202	0.4810290879
203	0.4808968811
204	0.480771633
205	0.4806871878
206	0.4804878069
207	0.4804030458
208	0.4802994174
209	0.4802029623
210	0.4801439105
211	0.4799964791
212	0.4798387093
213	0.4797571251
214	0.4796140891
215	0.4794923829
216	0.4794028099
217	0.4793189075
218	0.4791327955
219	0.4790304692
220	0.4788281967
221	0.4787633333
222	0.4786737127
223	0.4785420968
224	0.4784179888
225	0.4783393522
226	0.4781713541
227	0.4780113534
228	0.4779595249
229	0.4778697232
230	0.4777617969
231	0.4776560388
232	0.477561877
233	0.4774886495
234	0.4773379812
235	0.4772577218
236	0.4771959352
237	0.4770571546
238	0.4769900861
239	0.4768991088
240	0.4768538517
241	0.4767806749
242	0.4767304454
243	0.476660788
244	0.4765851063
245	0.4765344123
246	0.4764764039
247	0.4763871922
248	0.4762956299
249	0.4762356908
250	0.4760749831
251	0.4759660009
252	0.4758262601
253	0.4757487349
254	0.4756064751
255	0.4755494462
256	0.4754360597
257	0.4753588912
258	0.4752633824
259	0.475169606
260	0.4751094839
261	0.4749967795
262	0.4748929735
263	0.4747810004
264	0.4746990156
265	0.4746105071
266	0.4745217473
267	0.4744419791
268	0.4743754692
269	0.4742738344
270	0.4742386462
271	0.4741926176
272	0.4740795675
273	0.4740226815
274	0.4739403314
275	0.4738303916
276	0.4737179423
277	0.4736538529
278	0.4735618983
279	0.4734812407
280	0.4732850776
281	0.473199038
282	0.4731328251
283	0.4730376858
284	0.4729755194
285	0.4729103496
286	0.4728060766
287	0.4727184547
288	0.472599612
289	0.4725440099
290	0.4724188191
291	0.4723508727
292	0.4722965868
293	0.4722452921
294	0.4721921605
295	0.4720886301
296	0.472023339
297	0.4718873908
298	0.4718298207
299	0.4717629275
300	0.471674225
301	0.4716146822
302	0.4715628883
303	0.4715142885
304	0.4714092925
305	0.4713644841
306	0.4713102445
307	0.4712122917
308	0.4711473265
309	0.4711017475
310	0.4710509599
311	0.4709816378
312	0.4709290564
313	0.4707845374
314	0.4705855613
315	0.4704981202
316	0.470434998
317	0.4703378393
318	0.4703095958
319	0.4702629482
320	0.4702287708
321	0.4702071159
322	0.4701262839
323	0.4700468939
324	0.4698620983
325	0.4697709782
326	0.4696975792
327	0.4695880583
328	0.4694927601
329	0.469418896
330	0.4693839801
331	0.4693254872
332	0.4692309201
333	0.4691367437
334	0.4690775792
335	0.4689848816
336	0.4688375427
337	0.4687676639
338	0.4687332529
339	0.4686885805
340	0.4686132565
341	0.4685484236
342	0.4685198089
343	0.4683947751
344	0.4682776095
345	0.4682360508
346	0.4681987449
347	0.4681608737
348	0.4681055896
349	0.4680496878
350	0.4679747397
351	0.4678590401
352	0.4678262072
353	0.467791079
354	0.4677579728
355	0.4677158905
356	0.4676382986
357	0.4675696191
358	0.467468123
359	0.4673863014
360	0.4673356096
361	0.4672911559
362	0.4672361351
363	0.4672043459
364	0.4671712084
365	0.4671306309
366	0.4670748
367	0.4670462236
368	0.4669970445
369	0.4669498156
370	0.4668880696
371	0.4668268522
372	0.4667833419
373	0.466726955
374	0.4666621943
375	0.4666127859
376	0.4665891751
377	0.4665506431
378	0.4664945426
379	0.4664543345
380	0.4664198209
381	0.4663363541
382	0.4662687498
383	0.466226129
384	0.4661399579
385	0.4660535559
386	0.4660356485
387	0.4659467933
388	0.4659153677
389	0.465873586
390	0.4658378077
391	0.4656847554
392	0.4656666071
393	0.4656184083
394	0.4655779472
395	0.4655180785
396	0.4654596198
397	0.4654230264
398	0.4653749347
399	0.4653404985
400	0.4653181285
401	0.4652893102
402	0.4651921226
403	0.4651315276
404	0.4650809332
405	0.4650095273
406	0.4649810726
407	0.4649285652
408	0.4648937847
409	0.4648031901
410	0.464762446
411	0.4647058779
412	0.4646620362
413	0.4646236549
414	0.4646059346
415	0.4642607483
416	0.4641612971
417	0.464074924
418	0.4640555947
419	0.4640036558
420	0.463949931
421	0.4639329172
422	0.4638888148
423	0.4638319525
424	0.4637412901
425	0.4636739165
426	0.4636368197
427	0.4635825261
428	0.4635572134
429	0.4634929116
430	0.4634521511
431	0.4634360101
432	0.4633622951
433	0.4633225728
434	0.463289384
435	0.463193881
436	0.4631005959
437	0.4630398469
438	0.4629806163
439	0.4629087661
440	0.4628665753
441	0.4628325442
442	0.4628102725
443	0.4627384702
444	0.4627152453
445	0.4626679311
446	0.4625872125
447	0.4625395445
448	0.4624779612
449	0.4624206175
450	0.4623260833
451	0.4622943052
452	0.462238934
453	0.4621851726
454	0.4621565112
455	0.4621409359
456	0.4620820579
457	0.4620475058
458	0.4619634668
459	0.4619046398
460	0.4618494294
461	0.4618305917
462	0.4617901079
463	0.4617338156
464	0.4617075323
465	0.4616648644
466	0.4616366271
467	0.4615377015
468	0.4615181492
469	0.4614752278
470	0.4614495529
471	0.4614174883
472	0.4613567722
473	0.4612484222
474	0.4612156645
475	0.4611886653
476	0.461164148
477	0.461127072
478	0.4610881086
479	0.4610067045
480	0.4609673765
481	0.460886865
482	0.4608389127
483	0.4608066127
484	0.4607864079
485	0.4607287613
486	0.4607082625
487	0.4606715184
488	0.4606556048
489	0.4605955891
490	0.4605519544
491	0.4605296308
492	0.4604520999
493	0.4604279692
494	0.4601797181
495	0.460148108
496	0.4600181825
497	0.4599800501
498	0.4599271887
499	0.4598839217
500	0.4598476785
501	0.4598135215
502	0.459755575
503	0.4596645765
504	0.459599428
505	0.4595642199
506	0.4595262765
507	0.459499306
508	0.4594799383
509	0.4594436963
510	0.4593518903
511	0.4593276281
512	0.4593106719
513	0.4592580451
514	0.4592347483
515	0.4592026735
516	0.4591281545
517	0.4591204631
518	0.4590981057
519	0.4590716144
520	0.4590195901
521	0.4590020124
522	0.4589778856
523	0.4589347218
524	0.4588870145
525	0.4587710056
526	0.4587375179
527	0.4586812388
528	0.4586346381
529	0.4586169297
530	0.4585125985
531	0.4584898853
532	0.4584720426
533	0.4584640769
534	0.458406286
535	0.4583399103
536	0.45828035
537	0.4582281942
538	0.4581956243
539	0.458152888
540	0.4581196219
541	0.4580998686
542	0.4580618292
543	0.4580338682
544	0.4579744098
545	0.4579188296
546	0.4577663619
547	0.4577517276
548	0.4577111046
549	0.4576718834
550	0.4576507278
551	0.4576107432
552	0.4575803763
553	0.4575458637
554	0.4574929238
555	0.4574630364
556	0.4574223452
557	0.4573628575
558	0.4573321707
559	0.4571619053
560	0.457115623
561	0.4570859947
562	0.4570405072
563	0.4569943774
564	0.4569776264
565	0.4569086786
566	0.45687107
567	0.4568491256
568	0.4568135743
569	0.4567881249
570	0.4567680139
571	0.4567179465
572	0.4566773585
573	0.4566443935
574	0.4565635162
575	0.4565042055
576	0.4564758479
577	0.4563950455
578	0.4563700643
579	0.4563048029
580	0.4562493585
581	0.4561578735
582	0.4560963571
