iter	Passed	Remaining
0	396	792753
1	591	591165
2	781	520479
3	959	478830
4	1148	458255
5	1313	436576
6	1495	425900
7	1675	417312
8	1857	410845
9	2034	404792
10	2213	400225
11	2398	397271
12	2565	392124
13	2751	390383
14	2931	387964
15	3115	386374
16	3286	383385
17	3463	381376
18	3634	378973
19	3811	377366
20	3985	375597
21	4169	374859
22	4357	374515
23	4568	376138
24	4748	375106
25	4935	374750
26	5114	373762
27	5293	372824
28	5467	371574
29	5654	371341
30	5829	370245
31	6007	369465
32	6177	368225
33	6350	367205
34	6526	366423
35	6703	365691
36	6873	364656
37	7043	363657
38	7224	363239
39	7391	362169
40	7576	362001
41	7745	361110
42	7929	360896
43	8106	360369
44	8280	359760
45	8446	358804
46	8626	358438
47	8805	358089
48	8975	357359
49	9143	356591
50	9316	356029
51	9488	355464
52	9657	354790
53	9832	354338
54	9983	353057
55	10176	353266
56	10363	353277
57	10527	352497
58	10686	351576
59	10851	350874
60	11018	350235
61	11187	349701
62	11360	349300
63	11537	349004
64	11699	348275
65	11868	347793
66	12049	347638
67	12229	347462
68	12408	347250
69	12585	346994
70	12752	346486
71	12919	345964
72	13079	345251
73	13251	344893
74	13422	344509
75	13586	343955
76	13747	343323
77	13912	342817
78	14087	342563
79	14257	342177
80	14433	341959
81	14605	341628
82	14780	341379
83	14952	341065
84	15126	340785
85	15294	340396
86	15466	340076
87	15636	339745
88	15815	339596
89	15993	339424
90	16168	339192
91	16355	339206
92	16513	338621
93	16695	338537
94	16865	338202
95	17036	337890
96	17216	337758
97	17370	337125
98	17534	336694
99	17702	336346
100	17867	335951
101	18035	335608
102	18202	335246
103	18370	334901
104	18544	334687
105	18709	334307
106	18873	333909
107	19046	333658
108	19233	333668
109	19400	333336
110	19566	332980
111	19720	332429
112	19882	332012
113	20056	331815
114	20226	331538
115	20402	331365
116	20600	331544
117	20777	331379
118	20944	331070
119	21110	330725
120	21278	330424
121	21446	330132
122	21609	329767
123	21772	329399
124	21927	328912
125	22091	328568
126	22248	328119
127	22428	328011
128	22605	327864
129	22788	327806
130	22953	327479
131	23162	327778
132	23402	328521
133	23626	329010
134	23838	329323
135	24024	329273
136	24199	329078
137	24351	328570
138	24516	328245
139	24687	327987
140	24864	327827
141	25038	327617
142	25210	327384
143	25394	327305
144	25569	327114
145	25752	327025
146	25918	326713
147	26103	326643
148	26283	326510
149	26446	326176
150	26619	325957
151	26786	325668
152	27025	326243
153	27208	326153
154	27381	325928
155	27610	326365
156	27799	326339
157	27978	326183
158	28146	325894
159	28367	326221
160	28589	326554
161	28800	326763
162	29029	327155
163	29243	327384
164	29470	327747
165	29657	327666
166	29837	327498
167	30006	327213
168	30187	327063
169	30364	326864
170	30530	326547
171	30720	326489
172	30913	326464
173	31089	326261
174	31248	325876
175	31424	325670
176	31622	325697
177	31804	325553
178	31982	325359
179	32154	325117
180	32304	324654
181	32518	324827
182	32694	324617
183	32866	324376
184	33052	324272
185	33233	324113
186	33396	323786
187	33561	323477
188	33730	323203
189	33886	322814
190	34089	322870
191	34259	322607
192	34441	322461
193	34624	322329
194	34798	322109
195	34969	321861
196	35148	321690
197	35316	321414
198	35489	321184
199	35688	321193
200	35867	321022
201	36059	320968
202	36264	321018
203	36443	320849
204	36696	321321
205	36883	321210
206	37071	321105
207	37254	320959
208	37440	320843
209	37646	320888
210	37852	320940
211	38059	320990
212	38246	320873
213	38415	320612
214	38571	320235
215	38753	320076
216	38923	319818
