Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1774447562,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774447563,2,,Aggregated,0.000000,0.000000,540,540,540,540,540,540,540,540,540,540,540,2,0,532.1848000021419,537.2179499972844,532.1848000021419,542.251099992427,2341.0
1774447564,6,,Aggregated,0.000000,0.000000,540,590,640,640,660,660,660,660,660,660,660,7,0,540.0,536.9648285704898,274.9474000011105,660.1943999994546,1415.7142857142858
1774447565,8,,Aggregated,0.000000,0.000000,590,630,640,640,660,670,670,670,670,670,670,13,0,590.0,562.6972538448172,274.9474000011105,667.646900008549,1219.6153846153845
1774447566,10,,Aggregated,2.000000,0.000000,640,660,780,800,940,980,980,980,980,980,980,18,0,630.0,648.8757499981956,274.9474000011105,976.5636000083759,1170.9444444444443
1774447567,10,,Aggregated,4.333333,0.000000,660,800,890,940,1100,1100,1300,1300,1300,1300,1300,22,0,640.0,727.1866727261857,274.9474000011105,1250.2955000090878,1236.2727272727273
1774447568,10,,Aggregated,4.500000,0.000000,800,1000,1100,1200,1400,1600,1700,1700,1700,1700,1700,33,0,800.0,892.6556606046771,274.9474000011105,1695.3006999974605,1261.0
1774447569,10,,Aggregated,4.200000,0.000000,800,1000,1100,1200,1400,1600,1700,1700,1700,1700,1700,36,0,780.0,885.7473388880964,274.9474000011105,1695.3006999974605,1260.9166666666667
1774447570,10,,Aggregated,5.166667,0.000000,980,1100,1200,1300,1500,1500,1700,1700,1700,1700,1700,46,0,940.0,959.453623912692,274.9474000011105,1695.3006999974605,1249.0869565217392
1774447571,10,,Aggregated,5.000000,0.000000,960,1100,1200,1300,1400,1500,1600,1700,1700,1700,1700,51,0,960.0,962.1027254895536,274.9474000011105,1695.3006999974605,1197.3921568627452
1774447572,10,,Aggregated,5.625000,0.000000,980,1100,1200,1300,1400,1500,1700,1700,1700,1700,1700,61,0,980.0,968.3855409830804,274.9474000011105,1724.762699988787,1172.639344262295
1774447573,10,,Aggregated,5.444444,0.000000,890,1100,1200,1200,1400,1500,1700,1700,1700,1700,1700,72,0,880.0,936.2286333329798,274.9474000011105,1724.762699988787,1126.1666666666667
1774447574,10,,Aggregated,6.000000,0.000000,860,1000,1100,1200,1400,1500,1700,1700,1700,1700,1700,82,0,840.0,909.1724097560495,274.9474000011105,1724.762699988787,1076.6707317073171
1774447575,10,,Aggregated,6.900000,0.000000,870,1000,1100,1200,1400,1500,1700,1700,1700,1700,1700,87,0,870.0,912.6100885056577,274.9474000011105,1724.762699988787,1074.8505747126437
1774447576,10,,Aggregated,7.200000,0.000000,900,1100,1200,1300,1500,1700,2000,2300,2300,2300,2300,95,0,900.0,969.9802810523819,274.9474000011105,2257.619199997862,1096.3157894736842
1774447577,10,,Aggregated,7.200000,0.000000,930,1100,1200,1300,1500,1700,2000,2300,2300,2300,2300,98,0,900.0,966.9044693875214,274.9474000011105,2257.619199997862,1101.408163265306
1774447578,10,,Aggregated,6.900000,0.000000,930,1100,1200,1200,1500,1600,1700,2000,2300,2300,2300,109,0,930.0,959.3420082564655,274.9474000011105,2257.619199997862,1107.6605504587155
1774447579,10,,Aggregated,7.700000,0.000000,920,1100,1100,1200,1400,1600,1700,2000,2300,2300,2300,119,0,920.0,957.4637529407207,274.9474000011105,2257.619199997862,1102.4705882352941
1774447580,10,,Aggregated,7.700000,0.000000,900,1100,1100,1200,1400,1600,1700,2000,2300,2300,2300,123,0,900.0,948.4921487801182,274.9474000011105,2257.619199997862,1103.2845528455284
1774447581,10,,Aggregated,7.900000,0.000000,940,1100,1200,1300,1500,1600,1800,2000,2300,2300,2300,133,0,940.0,983.8750601500619,274.9474000011105,2257.619199997862,1098.9774436090227
1774447582,10,,Aggregated,7.800000,0.000000,940,1100,1200,1300,1500,1600,1800,2000,2300,2300,2300,134,0,940.0,984.7318753728264,274.9474000011105,2257.619199997862,1096.1567164179105
1774447583,10,,Aggregated,7.900000,0.000000,970,1100,1300,1400,1500,1600,1800,2000,2300,2300,2300,143,0,970.0,1006.3808006988521,274.9474000011105,2257.619199997862,1072.5524475524476
1774447584,10,,Aggregated,7.900000,0.000000,980,1100,1300,1400,1500,1600,1900,2000,2300,2300,2300,146,0,970.0,1011.3415965748223,274.9474000011105,2257.619199997862,1076.472602739726
1774447585,10,,Aggregated,7.300000,0.000000,1000,1100,1300,1400,1500,1700,1800,2000,2300,2300,2300,156,0,1000.0,1025.7696589740076,274.9474000011105,2257.619199997862,1147.2628205128206
1774447586,10,,Aggregated,6.700000,0.000000,1000,1200,1300,1400,1500,1600,1800,2000,2300,2300,2300,167,0,1000.0,1023.934299999818,274.9474000011105,2257.619199997862,1158.0179640718563
1774447587,10,,Aggregated,6.700000,0.000000,1000,1100,1200,1400,1500,1600,1800,2000,2300,2300,2300,169,0,1000.0,1019.3014852069739,274.9474000011105,2257.619199997862,1152.8343195266273
1774447588,10,,Aggregated,7.000000,0.000000,1000,1200,1300,1400,1500,1600,1800,2000,2300,2300,2300,179,0,1000.0,1037.2051184356515,274.9474000011105,2257.619199997862,1137.731843575419
1774447589,10,,Aggregated,7.100000,0.000000,1000,1200,1300,1400,1500,1600,1800,2000,2300,2300,2300,181,0,1000.0,1037.9688154695555,274.9474000011105,2257.619199997862,1133.132596685083
1774447590,10,,Aggregated,7.200000,0.000000,1000,1200,1300,1400,1600,1800,2000,2000,2300,2300,2300,191,0,1000.0,1065.4933062826676,274.9474000011105,2257.619199997862,1145.5287958115184
1774447591,10,,Aggregated,6.600000,0.000000,1000,1200,1300,1400,1600,1800,2000,2000,2300,2300,2300,195,0,1000.0,1061.8330246153234,274.9474000011105,2257.619199997862,1145.1538461538462
1774447592,10,,Aggregated,6.200000,0.000000,1000,1200,1400,1400,1600,1700,1900,2000,2300,2300,2300,205,0,1000.0,1068.7621912194938,274.9474000011105,2257.619199997862,1140.2878048780487
1774447593,10,,Aggregated,6.400000,0.000000,1000,1200,1300,1400,1600,1700,1900,2000,2300,2300,2300,213,0,1000.0,1058.8249483567574,274.9474000011105,2257.619199997862,1139.7464788732395
1774447594,10,,Aggregated,6.500000,0.000000,1000,1200,1300,1400,1600,1700,1900,2000,2300,2300,2300,225,0,1000.0,1036.9339319998269,274.9474000011105,2257.619199997862,1139.0266666666666
1774447595,10,,Aggregated,6.500000,0.000000,970,1200,1300,1400,1600,1700,1900,2000,2300,2300,2300,229,0,970.0,1029.6441358076938,274.9474000011105,2257.619199997862,1131.7117903930132
1774447596,10,,Aggregated,6.600000,0.000000,970,1200,1300,1400,1600,1700,1900,2000,2300,2300,2300,239,0,970.0,1027.7217769873314,274.9474000011105,2257.619199997862,1148.4811715481171
1774447597,10,,Aggregated,7.300000,0.000000,970,1200,1300,1400,1600,1700,1900,2000,2300,2300,2300,250,0,970.0,1026.1755807997542,274.9474000011105,2257.619199997862,1142.608
1774447598,10,,Aggregated,7.300000,0.000000,960,1100,1300,1400,1500,1700,1900,2000,2300,2300,2300,257,0,960.0,1015.9214214005183,274.9474000011105,2257.619199997862,1137.431906614786
